city_name,temperature_c,humidity_percent,wind_speed_mps,weather_main,weather_description,date_pkt,time_pkt
Charsadda,35.09,47,3.57,Clouds,few clouds,2025-07-08,15:29:48
Chakwal,32.37,53,3.42,Clouds,overcast clouds,2025-07-08,15:27:32
Vehari,40.2,33,6.59,Clouds,overcast clouds,2025-07-08,15:29:50
Thatta,35.37,49,6.83,Clouds,broken clouds,2025-07-08,15:29:50
Toba Tek Singh,40.69,30,0.71,Clouds,overcast clouds,2025-07-08,15:29:52
Skardu,31.98,24,2.37,Clouds,overcast clouds,2025-07-08,15:29:52
Umarkot,38.61,37,7.24,Clouds,scattered clouds,2025-07-08,15:29:52
Shorkot,43.56,27,4.43,Clouds,few clouds,2025-07-08,15:29:59
Sibi,42.58,29,5.01,Clouds,broken clouds,2025-07-08,15:29:59
Sangla Hill,34.29,42,1.61,Clouds,overcast clouds,2025-07-08,15:29:59
Shabqadar,34.46,51,3.83,Clouds,few clouds,2025-07-08,15:29:59
Shikarpur,42.02,30,4.77,Clouds,broken clouds,2025-07-08,15:29:59
Shahdadpur,40.33,34,4.9,Clouds,scattered clouds,2025-07-08,15:29:59
Shakargarh,29.21,60,2.46,Clouds,overcast clouds,2025-07-08,15:29:59
Shujaabad,42.26,29,6.69,Clouds,overcast clouds,2025-07-08,15:30:00
Swabi,33.91,46,2.06,Clouds,broken clouds,2025-07-08,15:30:02
Shahdad Kot,43.71,26,5.93,Clouds,broken clouds,2025-07-08,15:30:03
Sambrial,26.52,59,3.15,Clouds,overcast clouds,2025-07-08,15:30:05
Rohri,41.38,31,5.68,Clouds,few clouds,2025-07-08,15:30:06
Pano Aqil,41.78,30,5.46,Clouds,few clouds,2025-07-08,15:30:08
New Mirpur City,29.52,55,3.02,Clouds,overcast clouds,2025-07-08,15:30:08
Pakpattan,38.19,35,5.03,Clouds,overcast clouds,2025-07-08,15:30:08
Qambar,42.58,29,6.82,Clouds,broken clouds,2025-07-08,15:30:08
Pasrur,27.64,61,3.53,Clouds,overcast clouds,2025-07-08,15:30:08
Nawabshah,39.39,36,6.23,Clouds,scattered clouds,2025-07-08,15:30:08
Nankana Sahib,31.76,47,1.04,Clouds,overcast clouds,2025-07-08,15:30:08
Pattoki,33.68,41,3.02,Clouds,broken clouds,2025-07-08,15:30:08
Narowal,28.58,58,4.72,Clouds,overcast clouds,2025-07-08,15:30:09
Bhalwal,33.75,51,6.21,Clouds,overcast clouds,2025-07-08,15:30:10
Bhimber,28.23,56,1.77,Clouds,overcast clouds,2025-07-08,15:30:10
Mianke Mor,31.34,47,2.12,Clouds,overcast clouds,2025-07-08,15:30:10
Bhakkar,43.36,26,5.71,Clouds,scattered clouds,2025-07-08,15:30:10
Abbottabad,26.2,59,1.57,Clouds,overcast clouds,2025-07-08,15:30:11
New Badah,41.01,32,6.78,Clouds,scattered clouds,2025-07-08,15:30:11
Attock City,33.95,46,2.58,Clouds,overcast clouds,2025-07-08,15:30:11
Arifwala,40.05,31,4.11,Clouds,overcast clouds,2025-07-08,15:30:11
Nowshera Cantonment,34.67,51,3.3,Clouds,broken clouds,2025-07-08,15:30:11
Model Town,28.32,75,2.34,Clouds,overcast clouds,2025-07-08,15:29:04
Mithi,35.97,45,6.19,Clouds,broken clouds,2025-07-08,15:30:12
Mitha Tiwana,39.24,33,1.44,Clouds,broken clouds,2025-07-08,15:30:12
Mirpur Mathelo,42.0,30,6.22,Clouds,scattered clouds,2025-07-08,15:30:12
Miranshah,35.08,43,6.83,Clouds,scattered clouds,2025-07-08,15:30:13
Miro Khan,42.6,28,6.37,Clouds,broken clouds,2025-07-08,15:30:13
Minchianabad,38.28,35,4.57,Rain,light rain,2025-07-08,15:30:13
Mehrabpur,43.71,26,6.01,Clouds,broken clouds,2025-07-08,15:30:13
Mastung,35.97,18,4.18,Clear,clear sky,2025-07-08,15:30:13
Rabwah,37.9,33,1.88,Clouds,overcast clouds,2025-07-08,15:30:13
Mansehra,28.08,60,0.14,Clouds,overcast clouds,2025-07-08,15:30:14
Mananwala,31.39,48,1.73,Clouds,overcast clouds,2025-07-08,15:30:14
Mamu Kanjan,38.69,33,2.29,Clouds,overcast clouds,2025-07-08,15:30:14
Mankera,42.41,28,5.85,Clouds,scattered clouds,2025-07-08,15:30:14
Malakwal,32.3,54,3.6,Clouds,overcast clouds,2025-07-08,15:30:15
Mach,35.28,42,4.13,Clouds,scattered clouds,2025-07-08,15:30:15
Loralai,33.32,39,6.92,Clouds,scattered clouds,2025-07-08,15:30:15
